municipality_code,prefecture_name,municipality_name,latitude,longitude,source
03201,岩手県,盛岡市,39.688621,141.155094,geolonia
03202,岩手県,宮古市,39.63658,141.940576,geolonia
03203,岩手県,大船渡市,39.081359,141.716011,geolonia
03205,岩手県,花巻市,39.410667,141.135413,geolonia
03206,岩手県,北上市,39.298765,141.097732,geolonia
03207,岩手県,久慈市,40.188817,141.761089,geolonia
03208,岩手県,遠野市,39.327365,141.560188,geolonia
03209,岩手県,一関市,38.929472,141.141226,geolonia
03210,岩手県,陸前高田市,39.015079,141.627424,geolonia
03211,岩手県,釜石市,39.273891,141.877756,geolonia
03213,岩手県,二戸市,40.277859,141.301593,geolonia
03214,岩手県,八幡平市,40.023386,141.069413,geolonia
03215,岩手県,奥州市,39.123126,141.140545,geolonia
03216,岩手県,滝沢市,39.730029,141.070388,geolonia
03301,岩手県,雫石町,39.694392,140.960665,geolonia
03302,岩手県,葛巻町,40.004143,141.373706,geolonia
03303,岩手県,岩手町,39.965758,141.213306,geolonia
03321,岩手県,紫波町,39.55449,141.146235,geolonia
03322,岩手県,矢巾町,39.606147,141.141983,geolonia
03366,岩手県,西和賀町,39.337246,140.763419,geolonia
03381,岩手県,金ケ崎町,39.195905,141.082103,geolonia
03402,岩手県,平泉町,38.98308,141.115979,geolonia
03441,岩手県,住田町,39.208118,141.522589,geolonia
03461,岩手県,大槌町,39.366025,141.905868,geolonia
03482,岩手県,山田町,39.464517,141.953532,geolonia
03483,岩手県,岩泉町,39.847091,141.801614,geolonia
03484,岩手県,田野畑村,39.931135,141.858763,geolonia
03485,岩手県,普代村,40.002344,141.87552,geolonia
03501,岩手県,軽米町,40.309562,141.459353,geolonia
03503,岩手県,野田村,40.110113,141.817517,geolonia
03506,岩手県,九戸村,40.21472,141.44178,geolonia
03507,岩手県,洋野町,40.297745,141.688388,geolonia
03524,岩手県,一戸町,40.211631,141.295609,geolonia
04101,宮城県,仙台市青葉区,38.278835,140.800358,geolonia
04102,宮城県,仙台市宮城野区,38.273105,140.953743,geolonia
04103,宮城県,仙台市若林区,38.229432,140.939496,geolonia
04104,宮城県,仙台市太白区,38.216757,140.858372,geolonia
04105,宮城県,仙台市泉区,38.325924,140.846983,geolonia
04202,宮城県,石巻市,38.446771,141.310959,geolonia
04203,宮城県,塩竈市,38.330281,141.030612,geolonia
04205,宮城県,気仙沼市,38.879197,141.566006,geolonia
04206,宮城県,白石市,37.999646,140.620193,geolonia
04207,宮城県,名取市,38.166077,140.876884,geolonia
04208,宮城県,角田市,38.008373,140.781544,geolonia
04209,宮城県,多賀城市,38.297092,140.990779,geolonia
04211,宮城県,岩沼市,38.113003,140.859176,geolonia
04212,宮城県,登米市,38.666018,141.207497,geolonia
04213,宮城県,栗原市,38.766603,141.046677,geolonia
04214,宮城県,東松島市,38.415944,141.174345,geolonia
04215,宮城県,大崎市,38.578845,140.949888,geolonia
04216,宮城県,富谷市,38.38533,140.895974,geolonia
04301,宮城県,蔵王町,38.097483,140.668348,geolonia
04302,宮城県,七ヶ宿町,38.008405,140.380032,geolonia
04321,宮城県,大河原町,38.055302,140.716481,geolonia
04322,宮城県,村田町,38.122601,140.732518,geolonia
04323,宮城県,柴田町,38.070388,140.788669,geolonia
04324,宮城県,川崎町,38.183138,140.638785,geolonia
04341,宮城県,丸森町,37.906308,140.761183,geolonia
04361,宮城県,亘理町,38.04646,140.872566,geolonia
04362,宮城県,山元町,37.958058,140.883082,geolonia
04401,宮城県,松島町,38.395869,141.072411,geolonia
04404,宮城県,七ヶ浜町,38.300684,141.060438,geolonia
04406,宮城県,利府町,38.331497,140.980079,geolonia
04421,宮城県,大和町,38.432577,140.90285,geolonia
04422,宮城県,大郷町,38.416834,141.020508,geolonia
04424,宮城県,大衡村,38.461707,140.888969,geolonia
04444,宮城県,色麻町,38.544815,140.816584,geolonia
04445,宮城県,加美町,38.579381,140.753814,geolonia
04501,宮城県,涌谷町,38.542846,141.137765,geolonia
04505,宮城県,美里町,38.551285,141.053241,geolonia
04581,宮城県,女川町,38.438775,141.444052,geolonia
04606,宮城県,南三陸町,38.680093,141.448068,geolonia
06201,山形県,山形市,38.252944,140.323642,geolonia
06202,山形県,米沢市,37.909982,140.111236,geolonia
06203,山形県,鶴岡市,38.726808,139.834879,geolonia
06204,山形県,酒田市,38.911826,139.861662,geolonia
06205,山形県,新庄市,38.763452,140.301715,geolonia
06206,山形県,寒河江市,38.376145,140.279162,geolonia
06207,山形県,上山市,38.159792,140.285522,geolonia
06208,山形県,村山市,38.485062,140.388651,geolonia
06209,山形県,長井市,38.106746,140.037146,geolonia
06210,山形県,天童市,38.355581,140.369378,geolonia
06211,山形県,東根市,38.426676,140.391134,geolonia
06212,山形県,尾花沢市,38.605327,140.412807,geolonia
06213,山形県,南陽市,38.05305,140.14736,geolonia
06301,山形県,山辺町,38.283536,140.258466,geolonia
06302,山形県,中山町,38.336511,140.276192,geolonia
06321,山形県,河北町,38.420359,140.31233,geolonia
06322,山形県,西川町,38.457958,140.093853,geolonia
06323,山形県,朝日町,38.298037,140.13262,geolonia
06324,山形県,大江町,38.375929,140.157409,geolonia
06341,山形県,大石田町,38.593976,140.367787,geolonia
06361,山形県,金山町,38.880581,140.323919,geolonia
06362,山形県,最上町,38.762756,140.515096,geolonia
06363,山形県,舟形町,38.693674,140.286141,geolonia
06364,山形県,真室川町,38.890371,140.269756,geolonia
06365,山形県,大蔵村,38.680904,140.229,geolonia
06366,山形県,鮭川村,38.816902,140.218591,geolonia
06367,山形県,戸沢村,38.748711,140.16833,geolonia
06381,山形県,高畠町,37.99572,140.177423,geolonia
06382,山形県,川西町,38.005074,140.064251,geolonia
06401,山形県,小国町,38.057893,139.749134,geolonia
06402,山形県,白鷹町,38.199046,140.094741,geolonia
06403,山形県,飯豊町,37.935219,139.917011,geolonia
06426,山形県,三川町,38.793004,139.849169,geolonia
06428,山形県,庄内町,38.839498,139.910836,geolonia
06461,山形県,遊佐町,39.02057,139.906737,geolonia
